Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
14;10988;Rozmiar:select:0;70x100 cm:0;coral-sunset-peony-plakat-70x100-cm;coral-sunset-peony-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.4;0;;1;http://localhost/images/10988_2.jpg; – Zbliżenie białej i różowej piwonii w pełnym rozkwicie;0;0;0;0
15;12424;Rozmiar:select:0;21x30 cm:0;in-the-reeds-no2-plakat-21x30-cm;in-the-reeds-no2-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/12424_2.jpg; – Zdjęcie beżowych traw na wietrze, na tle jasnoniebieskiego nieba;0;0;0;0
15;12424;Rozmiar:select:0;30x40 cm:0;in-the-reeds-no2-plakat-30x40-cm;in-the-reeds-no2-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;http://localhost/images/12424_2.jpg; – Zdjęcie beżowych traw na wietrze, na tle jasnoniebieskiego nieba;0;0;0;0
15;12424;Rozmiar:select:0;40x50 cm:0;in-the-reeds-no2-plakat-40x50-cm;in-the-reeds-no2-plakat-40x50-cm;;;;32.520326;0;100;1;0;0;0.2;0;;1;http://localhost/images/12424_2.jpg; – Zdjęcie beżowych traw na wietrze, na tle jasnoniebieskiego nieba;0;0;0;0
15;12424;Rozmiar:select:0;50x70 cm:0;in-the-reeds-no2-plakat-50x70-cm;in-the-reeds-no2-plakat-50x70-cm;;;;56.910569;0;100;1;0;0;0.3;0;;1;http://localhost/images/12424_2.jpg; – Zdjęcie beżowych traw na wietrze, na tle jasnoniebieskiego nieba;0;0;0;0
15;12424;Rozmiar:select:0;70x100 cm:0;in-the-reeds-no2-plakat-70x100-cm;in-the-reeds-no2-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.4;0;;1;http://localhost/images/12424_2.jpg; – Zdjęcie beżowych traw na wietrze, na tle jasnoniebieskiego nieba;0;0;0;0
16;12058;Rozmiar:select:0;21x30 cm:0;golden-leaves-plakat-21x30-cm;golden-leaves-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/12058_2.jpg; – Zdjęcie dwóch liści palmowych w kolorze zielonym i złotym na kamiennym, beżowym tle;0;0;0;0
16;12058;Rozmiar:select:0;30x40 cm:0;golden-leaves-plakat-30x40-cm;golden-leaves-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;http://localhost/images/12058_2.jpg; – Zdjęcie dwóch liści palmowych w kolorze zielonym i złotym na kamiennym, beżowym tle;0;0;0;0
16;12058;Rozmiar:select:0;50x70 cm:0;golden-leaves-plakat-50x70-cm;golden-leaves-plakat-50x70-cm;;;;56.910569;0;100;1;0;0;0.2;0;;1;http://localhost/images/12058_2.jpg; – Zdjęcie dwóch liści palmowych w kolorze zielonym i złotym na kamiennym, beżowym tle;0;0;0;0
16;12058;Rozmiar:select:0;70x100 cm:0;golden-leaves-plakat-70x100-cm;golden-leaves-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.3;0;;1;http://localhost/images/12058_2.jpg; – Zdjęcie dwóch liści palmowych w kolorze zielonym i złotym na kamiennym, beżowym tle;0;0;0;0
17;13199;Rozmiar:select:0;13x18 cm:0;autumn-nature-plakat-13x18-cm;autumn-nature-plakat-13x18-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
17;13199;Rozmiar:select:0;21x30 cm:0;autumn-nature-plakat-21x30-cm;autumn-nature-plakat-21x30-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
17;13199;Rozmiar:select:0;30x40 cm:0;autumn-nature-plakat-30x40-cm;autumn-nature-plakat-30x40-cm;;;;40.650407;0;100;1;0;0;0.2;0;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
17;13199;Rozmiar:select:0;40x50 cm:0;autumn-nature-plakat-40x50-cm;autumn-nature-plakat-40x50-cm;;;;56.91057;0;100;1;0;0;0.3;0;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
17;13199;Rozmiar:select:0;50x70 cm:0;autumn-nature-plakat-50x70-cm;autumn-nature-plakat-50x70-cm;;;;81.300813;0;100;1;0;0;0.4;0;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
17;13199;Rozmiar:select:0;70x100 cm:0;autumn-nature-plakat-70x100-cm;autumn-nature-plakat-70x100-cm;;;;113.821139;0;100;1;0;0;0.5;0;;1;http://localhost/images/13199_2.jpg; – Zbliżenie małych okrągłych kwiatków w kolorze białym, z rozmytym tłem;0;0;0;0
18;11331;Rozmiar:select:0;21x30 cm:0;walking-in-paris-plakat-21x30-cm;walking-in-paris-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/11331_2.jpg; – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla;0;0;0;0
18;11331;Rozmiar:select:0;30x40 cm:0;walking-in-paris-plakat-30x40-cm;walking-in-paris-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/11331_2.jpg; – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla;0;0;0;0
18;11331;Rozmiar:select:0;40x50 cm:0;walking-in-paris-plakat-40x50-cm;walking-in-paris-plakat-40x50-cm;;;;40.650407;0;100;1;0;0;0.2;0;;1;http://localhost/images/11331_2.jpg; – Czarno-białe zdjęcie kobiety spacerującej z parasolem pod Wieżą Eiffla;0;0;0;0
